time_s,setpoint,true_speed,raw_measurement,filtered_measurement,control_output,error,jitter_ms,sensor_delay_ms,overrun
0.831406,0.000000,0.245654,-1.364108,0.022070,0.000000,-0.022070,0.089763,2,0
0.842112,0.000000,0.239548,-1.364108,0.022070,0.031955,-0.022070,0.795624,2,0
0.851841,0.000000,0.243211,-0.763966,-0.063605,0.367739,0.063605,0.525269,27,0
0.861575,0.000000,0.239472,-0.763966,-0.063605,0.112369,0.063605,0.258929,27,0
0.872429,0.000000,0.235888,-0.763966,-0.063605,0.114023,0.063605,1.112621,27,0
0.882187,0.000000,0.229148,1.238785,0.078350,0.000000,-0.078350,0.870534,28,0
0.891882,0.000000,0.222601,2.545522,0.347261,0.000000,-0.347261,0.566424,3,0
0.901580,0.000000,0.216241,2.545522,0.347261,0.000000,-0.347261,0.263988,3,0
0.912412,0.000000,0.216479,-0.843279,0.217497,0.224573,-0.217497,1.095820,27,0
0.922136,0.000000,0.210294,-0.843279,0.217497,0.000000,-0.217497,0.819700,27,0
0.931942,0.000000,0.204286,1.236829,0.328600,0.000000,-0.328600,0.625802,12,0
0.941688,0.000000,0.198449,1.236829,0.328600,0.000000,-0.328600,0.371530,12,0
0.951409,0.000000,0.192779,2.942173,0.613468,0.000000,-0.613468,0.093020,27,0
0.962219,0.000000,0.187271,0.543886,0.605884,0.000000,-0.605884,0.903287,3,0
0.971871,0.000000,0.181920,0.543886,0.605884,0.000000,-0.605884,0.554700,3,0
0.982207,0.000000,0.181924,-1.222186,0.406632,0.182044,-0.406632,0.890883,27,0
0.991911,0.000000,0.176726,-0.473400,0.310713,0.000000,-0.310713,0.595442,8,0
1.001617,40.000000,3.028820,2.724193,0.573772,100.000000,39.426228,0.300754,7,0
1.012858,40.000000,3.990146,2.444914,0.777718,36.675255,39.222282,1.542271,10,0
1.021443,40.000000,4.970624,2.444914,0.777718,38.306874,39.222282,0.126580,10,0
1.032332,40.000000,5.952225,2.444914,0.777718,39.326653,39.222282,1.015885,10,0
1.041427,40.000000,6.871527,5.962452,1.342832,38.127797,38.657168,0.110633,26,0
